connections=[
		],
events={
	{
		exits:[SOOTOPOLIS CITY (15.2),SOOTOPOLIS CITY (15.4),SOOTOPOLIS CITY (15.0),CAVE OF ORIGIN (24.37),SOOTOPOLIS CITY (15.5),SOOTOPOLIS CITY (15.6),SOOTOPOLIS CITY (15.7),SOOTOPOLIS CITY (15.8),SOOTOPOLIS CITY (15.9),SOOTOPOLIS CITY (15.10),SOOTOPOLIS CITY (15.11),SOOTOPOLIS CITY (15.12),SOOTOPOLIS CITY (15.13),		]},
	{
		NPCs:[
			{is_trainer:0,b1:8,b2:0,sprite:21},
			{is_trainer:0,b1:9,b2:0,sprite:26},
			{is_trainer:0,b1:5,b2:0,sprite:10},
			{is_trainer:0,b1:8,b2:0,sprite:5},
			{is_trainer:0,b1:1,b2:0,sprite:7},
			{is_trainer:0,b1:5,b2:0,sprite:19},
			{is_trainer:0,b1:8,b2:0,sprite:134},
			{is_trainer:0,b1:3,b2:0,sprite:34},
			{is_trainer:0,b1:80,b2:0,sprite:222},
			{is_trainer:0,b1:79,b2:0,sprite:221},
			{is_trainer:0,b1:10,b2:0,sprite:207},
			{is_trainer:0,b1:10,b2:0,sprite:39},
			{is_trainer:0,b1:10,b2:0,sprite:14},
			{is_trainer:0,b1:10,b2:0,sprite:44},
			{is_trainer:0,b1:8,b2:0,sprite:9},
			{is_trainer:0,b1:8,b2:0,sprite:196},
			{is_trainer:0,b1:8,b2:0,sprite:195},
			{is_trainer:0,b1:8,b2:0,sprite:133},
		]},
	{
		signs:[
			{x:33,y:34},
			{x:19,y:29},
			{x:44,y:31},
			{x:45,y:31},
			{x:18,y:29},
			{x:41,y:37},
		]},
	{
		triggers:[
		]},

},
[
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 1, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 12, 12, 12, 12, 1, 1, 1, 1, 1, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 12, 1, 1, 1, 12, 12, 12, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 1, 1, 1, 12, 12, 1, ],
	[1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 12, 12, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 12, 12, 12, 1, 12, 12, 12, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 12, 12, 12, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, ],
	[1, 1, 1, 1, 1, 12, 1, 1, 1, 12, 1, 1, 1, 1, 12, 12, 12, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, ],
	[1, 1, 1, 1, 1, 12, 1, 12, 1, 12, 1, 1, 1, 1, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
