Connections;
Exits;MT. PYRE (24.19);MT. PYRE (24.17);MT. PYRE (24.19);MT. PYRE (24.19);MT. PYRE (24.17);MT. PYRE (24.17);
1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 12 1 1 
1 1 1 1 1 1 1 1 1 12 12 12 1 
1 1 1 1 1 1 1 1 1 12 12 12 1 
1 1 1 1 1 1 1 1 1 12 12 12 1 
1 1 12 1 1 1 1 1 1 12 12 12 1 
1 12 12 12 1 1 1 1 1 12 12 12 1 
1 12 12 12 1 1 1 1 1 12 12 12 12 
12 12 12 12 12 12 12 12 12 12 12 12 1 
1 1 1 1 1 1 1 1 1 12 12 12 1 
1 12 12 13 12 12 1 1 1 12 12 12 12 
1 12 12 12 12 12 1 1 1 1 1 1 1 
1 12 12 12 12 12 12 12 12 12 12 12 12 
