connections=[
		],
events={
	{
		exits:[SKY PILLAR (24.78),SKY PILLAR (24.78),SKY PILLAR (24.80),		]},
	{
		NPCs:[
		]},
	{
		signs:[
		]},
	{
		triggers:[
		]},

},
[
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, ],
	[12, 12, 12, 12, 12, 12, 12, 1, 12, 12, 12, 12, 1, 12, ],
	[12, 12, 12, 1, 12, 12, 12, 12, 1, 1, 12, 12, 12, 12, ],
	[12, 12, 12, 12, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, ],
	[12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, ],
	[12, 12, 1, 12, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, ],
	[1, 1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 1, ],
	[1, 12, 12, 12, 1, 1, 1, 1, 1, 1, 12, 1, 1, 12, ],
	[12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 12, 12, 12, 1, ],
	[12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 1, ],
	[12, 12, 1, 12, 12, 12, 12, 12, 12, 1, 12, 12, 12, 12, ],
	[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, ],
	[1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, ],
]
