connections=[
		],
events={
	
		'exits':[{'name':'ROUTE 104 (0.19)','x':14,'y':5},{'name':'ROUTE 104 (0.19)','x':15,'y':5},{'name':'ROUTE 104 (0.19)','x':16,'y':38},{'name':'ROUTE 104 (0.19)','x':17,'y':38},{'name':'ROUTE 104 (0.19)','x':36,'y':38},{'name':'ROUTE 104 (0.19)','x':37,'y':38},		],
	
		'NPCs':[
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'82','x':19,'y':10},
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'82','x':19,'y':11},
			{'is_trainer':0,'b1':10,'b2':0,'sprite':'117','x':26,'y':17},
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'23','x':26,'y':20},
			{'is_trainer':0,'b1':8,'b2':0,'sprite':'59','x':45,'y':7},
			{'is_trainer':0,'b1':8,'b2':0,'sprite':'59','x':35,'y':20},
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'59','x':4,'y':8},
			{'is_trainer':0,'b1':3,'b2':0,'sprite':'9','x':15,'y':19},
			{'is_trainer':1,'b1':22,'b2':0,'sprite':'36','x':7,'y':32},
			{'is_trainer':1,'b1':20,'b2':0,'sprite':'36','x':4,'y':14},
			{'is_trainer':0,'b1':2,'b2':0,'sprite':'13','x':30,'y':34},
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'59','x':4,'y':26},
			{'is_trainer':0,'b1':1,'b2':0,'sprite':'10','x':33,'y':5},
		],
	
		'signs':[
			{'x':14,'y':32},
			{'x':39,'y':35},
			{'x':26,'y':6},
			{'x':40,'y':29},
			{'x':4,'y':19},
			{'x':11,'y':8},
		],
	
		'triggers':[
			{'x':26,'y':23,'flag':16536,'scriptPointer':2285527},
			{'x':27,'y':23,'flag':16536,'scriptPointer':2285689},
		],

},
partial_map=[
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 12, 12, 12, 12, 12, 1, 1, ],
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 12, 12, 12, 12, 12, 1, 1, ],
	[1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 13, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 12, 12, 12, 12, 12, 1, 1, ],
