connections=[
		],
events={
	{
		exits:[SKY PILLAR (24.82),SKY PILLAR (24.85),		]},
	{
		NPCs:[
		]},
	{
		signs:[
		]},
	{
		triggers:[
		]},

},
[
	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ],
	[1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, ],
	[12, 12, 12, 12, 12, 13, 12, 12, 12, 13, 12, 12, 12, 12, ],
	[12, 12, 13, 12, 12, 12, 12, 12, 13, 12, 12, 12, 12, 12, ],
	[12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 13, 12, 12, ],
	[13, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 13, 12, 12, ],
	[12, 13, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 13, ],
	[12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, ],
	[12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, ],
	[12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 13, 12, ],
	[12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 13, 12, 12, ],
	[1, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, ],
	[12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 12, 12, 13, 12, ],
	[12, 13, 12, 12, 12, 1, 12, 12, 12, 12, 12, 12, 12, 12, ],
]
